CO(GT),PT08.S1(CO),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,DateTime,C6H6(GT)
0.19819819819819814,0.5122567601718473,0.3820956039265898,0.09207630227439471,0.3605431797375649,0.36586901763224183,0.4941312466654811,0.3834733053389322,0.2788235294117644,0.5014976465554126,0.2776624634597752,2004-03-10 18:00:00,11.9
0.1951951951951952,0.5314632297194843,0.3689714041826718,0.09122034727317194,0.3643576441867562,0.38035264483627207,0.48159345545082705,0.3765746850629874,0.2666666666666664,0.5258878904578516,0.2791413695881546,2004-03-10 19:00:00,9.4
0.18318318318318316,0.5355066969926712,0.3480580452411438,0.09268769870383958,0.36985047299359175,0.3916876574307305,0.4623866263560377,0.36682663467306537,0.24627450980392135,0.5733846812152329,0.2841402452735541,2004-03-10 20:00:00,9.0
0.17117117117117117,0.5304523629011877,0.322663252240717,0.09953533871362191,0.3745804089105891,0.42191435768261965,0.4501155966565891,0.3875224955008998,0.22980392156862717,0.6243046640992723,0.29508933976787194,2004-03-10 21:00:00,9.2
0.14114114114114112,0.47864543846348245,0.28233034571062743,0.08926387869894839,0.40463838877021674,0.3992443324937028,0.42130535301440514,0.36877624475104975,0.2243137254901958,0.6465554129225499,0.3010741528721911,2004-03-10 22:00:00,6.5
0.11111111111111108,0.43037654788981544,0.22727272727272724,0.06236243580337491,0.46109246261824854,0.3425692695214106,0.3766672594700338,0.29829034193161363,0.2266666666666664,0.6328626444159176,0.29650770587930014,2004-03-10 23:00:00,4.7
0.09309309309309308,0.39600707606772806,0.19227486128894578,0.04548789435069699,0.4989319499542265,0.292191435768262,0.34874622087853463,0.24130173965206958,0.22274509803921544,0.6345742404792465,0.29329043640703617,2004-03-11 00:00:00,3.6
0.08408408408408408,0.3699772554965883,0.16218523260776785,0.034727317192467605,0.5358559658223986,0.24685138539042822,0.3279388226925129,0.19196160767846432,0.21882352941176442,0.6367137355584078,0.28983100686696733,2004-03-11 01:00:00,3.3
0.06606606606606605,0.3257518321961081,0.13465642338881778,0.030569821472242603,0.5729325602685383,0.22544080604534006,0.31051040369909305,0.15716856628674264,0.21098039215686248,0.6512623020967048,0.28834345216473767,2004-03-11 02:00:00,2.3
0.05405405405405405,0.2941622441243365,0.10371318822023046,0.02054292002934703,0.6286237412267319,0.17254408060453402,0.28632402632046955,0.11442711457708456,0.2062745098039213,0.6534017971758661,0.28424402815975613,2004-03-11 03:00:00,1.7
0.048048048048048034,0.2870861763962597,0.0830132309005549,0.013450721447786746,0.6803478791577664,0.13224181360201512,0.2696069713675974,0.08473305338932212,0.20862745098039193,0.6384253316217369,0.2793662325082591,2004-03-11 04:00:00,1.3
0.05105105105105104,0.297700277988375,0.08130601792573622,0.010760577158229397,0.685382972230699,0.11712846347607053,0.2671171972256802,0.08038392321535691,0.21019607843137228,0.6294394522892595,0.2765295002854026,2004-03-11 05:00:00,1.1
0.06606606606606605,0.3313115996967399,0.1111822449850619,0.029591587185130844,0.6353371986573085,0.17758186397984888,0.29237062066512537,0.123125374925015,0.21098039215686243,0.625588361146769,0.2756992371957861,2004-03-11 06:00:00,1.6
0.1051051051051051,0.39878695981804385,0.1939820742637644,0.06823184152604549,0.5160207506866037,0.283375314861461,0.35194735906099955,0.22510497900419912,0.20941176470588208,0.6307231493367561,0.2764257173992005,2004-03-11 07:00:00,3.2
0.15015015015015015,0.47434925448572146,0.2808365343576611,0.09146490584494986,0.41547146780592015,0.3501259445843829,0.41632580473057096,0.3084883023395321,0.20941176470588208,0.6414206247325629,0.28227215332191685,2004-03-11 08:00:00,8.0
0.16816816816816815,0.49684104119282285,0.3149807938540332,0.09488872584984104,0.37397009459871833,0.37027707808564236,0.4353547928152232,0.3279844031193761,0.2141176470588233,0.6362858365425756,0.28460726826146343,2004-03-11 09:00:00,9.5
0.15315315315315314,0.4579226686884002,0.2855313700384122,0.07556859867938372,0.40326518156850777,0.34508816120906805,0.40778943624399794,0.2633473305338932,0.2117647058823527,0.6384253316217369,0.2836386279902441,2004-03-11 10:00:00,6.3
0.13513513513513511,0.42886024766237046,0.24583866837387958,0.0694546343849352,0.43713762587732685,0.33753148614609574,0.3754223723990752,0.2087582483503299,0.2039215686274507,0.6649550706033373,0.28813588639233356,2004-03-11 11:00:00,5.0
0.14114114114114112,0.44225423300480166,0.25480153649167736,0.07776962582538519,0.4285932255111383,0.3551637279596978,0.3916059043215366,0.1996100779844031,0.18431372549019587,0.7419768934531447,0.30268278760832307,2004-03-11 12:00:00,5.2
0.18318318318318316,0.4907758402830427,0.31284677763551005,0.10516018586451456,0.37595361611229794,0.40050377833753154,0.4570513960519296,0.254499100179964,0.16470588235294092,0.8412494651262298,0.3266220400255994,2004-03-11 13:00:00,7.3
0.2012012012012012,0.5094768764215314,0.34677763551002994,0.12472487160674982,0.3425389075373818,0.4395465994962217,0.5008002845456163,0.2967906418716257,0.15529411764705858,0.896876337184424,0.3409267811737841,2004-03-11 14:00:00,11.5
0.21021021021021016,0.5109931766489764,0.35595390524967985,0.13621912448031304,0.3335367714372902,0.46347607052896733,0.510403699093011,0.3204859028194361,0.16627450980392128,0.8746255883611462,0.3439710791690447,2004-03-11 15:00:00,8.8
0.2102102102102102,0.5140257771038665,0.3529662825437473,0.1450232330643189,0.3373512358864815,0.4722921914357683,0.5084474479815047,0.33053389322135573,0.1803921568627448,0.8168592212237906,0.334440350786155,2004-03-11 16:00:00,8.3
